group,pin_number_ball,pin_name,u0_net_bank2b,u1_net_bank3a,orcad_pin_type,note
DQ Byte0 / CH-A lower,D1,DQ0_A,LP5_U0_DQ0,LP5_U1_DQ0,Bidirectional,offpage
DQ Byte0 / CH-A lower,C2,DQ1_A,LP5_U0_DQ1,LP5_U1_DQ1,Bidirectional,offpage
DQ Byte0 / CH-A lower,E2,DQ2_A,LP5_U0_DQ2,LP5_U1_DQ2,Bidirectional,offpage
DQ Byte0 / CH-A lower,D3,DQ3_A,LP5_U0_DQ3,LP5_U1_DQ3,Bidirectional,offpage
DQ Byte0 / CH-A lower,B5,DQ4_A,LP5_U0_DQ4,LP5_U1_DQ4,Bidirectional,offpage
DQ Byte0 / CH-A lower,C6,DQ5_A,LP5_U0_DQ5,LP5_U1_DQ5,Bidirectional,offpage
DQ Byte0 / CH-A lower,E6,DQ6_A,LP5_U0_DQ6,LP5_U1_DQ6,Bidirectional,offpage
DQ Byte0 / CH-A lower,F5,DQ7_A,LP5_U0_DQ7,LP5_U1_DQ7,Bidirectional,offpage
DQ Byte0 / CH-A lower,A4,DMI0_A,LP5_U0_DMI0,LP5_U1_DMI0,Bidirectional,offpage
DQ Byte0 / CH-A lower,B3,RDQS0_t_A,LP5_U0_RDQS0_T,LP5_U1_RDQS0_T,Bidirectional,offpage
DQ Byte0 / CH-A lower,C4,RDQS0_c_A,LP5_U0_RDQS0_C,LP5_U1_RDQS0_C,Bidirectional,offpage
DQ Byte1 / CH-A upper,D15,DQ8_A,LP5_U0_DQ8,LP5_U1_DQ8,Bidirectional,offpage
DQ Byte1 / CH-A upper,C14,DQ9_A,LP5_U0_DQ9,LP5_U1_DQ9,Bidirectional,offpage
DQ Byte1 / CH-A upper,E14,DQ10_A,LP5_U0_DQ10,LP5_U1_DQ10,Bidirectional,offpage
DQ Byte1 / CH-A upper,D13,DQ11_A,LP5_U0_DQ11,LP5_U1_DQ11,Bidirectional,offpage
DQ Byte1 / CH-A upper,B11,DQ12_A,LP5_U0_DQ12,LP5_U1_DQ12,Bidirectional,offpage
DQ Byte1 / CH-A upper,C10,DQ13_A,LP5_U0_DQ13,LP5_U1_DQ13,Bidirectional,offpage
DQ Byte1 / CH-A upper,E10,DQ14_A,LP5_U0_DQ14,LP5_U1_DQ14,Bidirectional,offpage
DQ Byte1 / CH-A upper,F11,DQ15_A,LP5_U0_DQ15,LP5_U1_DQ15,Bidirectional,offpage
DQ Byte1 / CH-A upper,A12,DMI1_A,LP5_U0_DMI1,LP5_U1_DMI1,Bidirectional,offpage
DQ Byte1 / CH-A upper,B13,RDQS1_t_A,LP5_U0_RDQS1_T,LP5_U1_RDQS1_T,Bidirectional,offpage
DQ Byte1 / CH-A upper,C12,RDQS1_c_A,LP5_U0_RDQS1_C,LP5_U1_RDQS1_C,Bidirectional,offpage
