方案类型	推荐优先级	推荐料号	品牌	容量	位宽/Package Width	Die Organization	每板建议颗数	每板总位宽/容量	速率等级	封装	温度等级	生命周期状态	替代料号	替代料兼容性	样品/量产交期	MOQ/MPQ	样品价	1k价	5k价	资料是否齐全	备注/信息冲突说明
说明	保密口径	目标 FPGA / SoC 平台，具体厂商、平台系列和型号暂不披露。	本表仅用于存储器器件侧询价	请勿要求我方提供具体主控厂商或型号	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	最终主控兼容性由我方内部确认
说明	填写规则	无法确认的信息请填“待确认”或“不确定”	不要留空	价格请分样品、1k、5k填写	待确认	待确认	待确认	待确认	待确认	待确认	商业级/工业级均可，但必须明确温度等级	必须填写生命周期状态	存在 NRND/EOL/LTB 风险时必须提供替代料号	说明 pin/package/容量/速率是否可替代	样品和量产交期分开说明	必须填写 MOQ/MPQ	待确认	待确认	待确认	必须说明 datasheet、官网、代理系统、原厂反馈是否齐全	如信息冲突，请写明冲突来源和建议依据
说明	DDR4/DDR5 评估要求	优先推荐可组成 64bit 总位宽的 x16 或 x8 方案	待确认	待确认	优先 x16 或 x8	不适用/待确认	按 64bit 总位宽建议颗数	64bit / 容量待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	请同时覆盖最低成本和长期供货两个方向
说明	LPDDR4/LPDDR5 评估要求	优先推荐可组成 64bit 总位宽的 x32 package width 方案	待确认	待确认	必须写明 package width	必须写明 die organization，不要只写 x32	按 64bit 总位宽建议颗数	64bit / 容量待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	请同时说明 package width、die organization、ball map/package drawing 资料状态
DDR4	最低成本首选	待确认	待确认	待确认	优先 x16 或 x8，组成 64bit 总位宽	不适用/待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	优先当前成本最低方案；如 DDR4 当前价格高于 DDR5，请明确说明
DDR4	长期供货备选	待确认	待确认	待确认	优先 x16 或 x8，组成 64bit 总位宽	不适用/待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	优先生命周期稳定、可持续供货、有明确替代料的方案
DDR5	成本/带宽折中	待确认	待确认	待确认	优先 x16 或 x8，组成 64bit 总位宽	不适用/待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	请说明相对 DDR4 的成本、带宽、交期和生命周期差异
DDR5	长期供货备选	待确认	待确认	待确认	优先 x16 或 x8，组成 64bit 总位宽	不适用/待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	优先生命周期长、供货稳定、资料完整的方案
LPDDR4/LPDDR4X	低功耗/面积备选	待确认	待确认	待确认	优先 x32 package width，组成 64bit 总位宽	必须填写，待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	如果 LPDDR4 并不比 LPDDR5 便宜，请明确说明；必须说明 package width 和 die organization
LPDDR5/LPDDR5X	性能/长期供货备选	待确认	待确认	待确认	优先 x32 package width，组成 64bit 总位宽	必须填写，待确认	待确认	64bit / 容量待确认	待确认	待确认	待确认	待确认	如有 NRND/EOL/LTB 风险必须提供	待确认	待确认	待确认	待确认	待确认	待确认	待确认	请说明相对 LPDDR4 的成本、性能、交期和生命周期差异；必须说明 package width 和 die organization
结论	综合成本最低方案	请填写 DDR4 / DDR5 / LPDDR4 / LPDDR5 之一	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	待确认	请说明判断依据，至少包含样品价、1k价、5k价和 MOQ/MPQ
